FechaEnvio,NumeroFacturaDeCargos,NumeroDePago,CargosTotales,Creditos,MontoDeEnvio,TotalDelEnvio,MontoDelDescuento,CuotasEIncentivos,MontoDePago,IdAfiliacion,Número de establecimiento que envía,SucursalQueEnvia,ConteoDeTransacciones,FechaPago,NombreSucursal,IVA,Descripcion,FechaTransaccion,NumeroDeMensualidades
2026-04-25,2,51170986," 1,200.46", 0.00," 1,200.46"," 1,200.46",( 13.21), 0.00," 1,185.14",8489278820,8489278820,,1,2026-04-29,FRONTERA,( 2.11),,2026-04-25,0
2026-04-22,1473,31145902," 5,280.79", 0.00," 5,280.79"," 5,280.79",( 58.09), 0.00," 5,213.41",7464542802,7464542802,,7,2026-04-28,BOLICHE,( 9.29),,2026-04-23,0
2026-04-23,1474,31145902," 3,935.13", 0.00," 3,935.13"," 3,935.13",( 43.29), 0.00," 3,884.91",7464542802,7464542802,,4,2026-04-28,BOLICHE,( 6.93),,2026-04-23,0
2026-04-23,1475,31145902," 5,920.91", 0.00," 5,920.91"," 5,920.91",( 65.13), 0.00," 5,845.36",7464542802,7464542802,,6,2026-04-28,BOLICHE,( 10.42),,2026-04-23,0
2026-04-22,110,31147306," 3,737.41", 0.00," 3,737.41"," 3,737.41",( 41.11), 0.00," 3,689.72",7469540645,7469540645,,2,2026-04-28,CHAMPOTON MALECON,( 6.58),,2026-04-23,0
2026-04-22,70,41146599, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8487957920,8487957920,,1,2026-04-28,KANISTE,( 0.88),,2026-04-23,0
2026-04-22,115,41146600, 719.70, 0.00, 719.70, 719.70,( 7.92), 0.00, 710.51,8487957953,8487957953,,1,2026-04-28,CHAMPOTON 2,( 1.27),,2026-04-23,0
2026-04-22,108,41146624," 4,774.59", 0.00," 4,774.59"," 4,774.59",( 52.52), 0.00," 4,713.67",8488075888,8488075888,,4,2026-04-28,NOVIA DEL MAR,( 8.40),,2026-04-23,0
2026-04-23,109,41146624," 7,806.86", 0.00," 7,806.86"," 7,806.86",( 85.88), 0.00," 7,707.24",8488075888,8488075888,,6,2026-04-28,NOVIA DEL MAR,( 13.74),,2026-04-23,0
2026-04-23,111,41146626," 1,838.87", 0.00," 1,838.87"," 1,838.87",( 20.23), 0.00," 1,815.40",8488075995,8488075995,,1,2026-04-28,CHETUMAL PLAZA,( 3.24),,2026-04-24,0
2026-04-23,233,41146627, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8488076035,8488076035,,1,2026-04-28,BENITO,( 0.88),,2026-04-23,0
2026-04-23,83,41146847," 1,418.98", 0.00," 1,418.98"," 1,418.98",( 15.61), 0.00," 1,400.87",8489189027,8489189027,,1,2026-04-28,AVENIDA CENTRAL,( 2.50),,2026-04-23,0
2026-04-22,47,41146848," 3,635.48", 0.00," 3,635.48"," 3,635.48",( 39.99), 0.00," 3,589.09",8489189068,8489189068,,5,2026-04-28,SUBTENIENTE,( 6.40),,2026-04-23,0
2026-04-22,1471,31136850," 2,250.95", 0.00," 2,250.95"," 2,250.95",( 24.76), 0.00," 2,222.23",7464542802,7464542802,,1,2026-04-27,BOLICHE,( 3.96),,2026-04-22,0
2026-04-22,1472,31136850," 10,348.73", 0.00," 10,348.73"," 10,348.73",( 113.84), 0.00," 10,216.68",7464542802,7464542802,,9,2026-04-27,BOLICHE,( 18.21),,2026-04-22,0
2026-04-21,50,31138485," 4,456.01", 0.00," 4,456.01"," 4,456.01",( 49.02), 0.00," 4,399.15",7469546899,7469546899,,2,2026-04-27,PUERTO REAL,( 7.84),,2026-04-22,0
2026-04-21,68,51130024, 599.75, 0.00, 599.75, 599.75,( 6.60), 0.00, 592.09,8487957920,8487957920,,1,2026-04-27,KANISTE,( 1.06),,2026-04-22,0
2026-04-22,69,51130024," 1,298.12", 0.00," 1,298.12"," 1,298.12",( 14.28), 0.00," 1,281.56",8487957920,8487957920,,1,2026-04-27,KANISTE,( 2.28),,2026-04-22,0
